,layout,layout-v11,layout-land-v11
alert_dialog_holo,X,,
alert_dialog_message,X,,
alert_dialog_title,X,,
button_dialog,X,,
edit_vs_layout,X,,
format_dialog,X,,
info_list_row,X,,
main_fragment,X,,
main_row,X,,
new_vs_dialog,X,X,X
vs_details,X,,
